Year,Employees (millions),Month
1990.00,109.14,Jan
1990.08,109.40,Feb
1990.17,109.62,Mar
1990.25,109.65,Apr
1990.33,109.80,May
1990.42,109.82,Jun
1990.50,109.77,Jul
1990.58,109.57,Aug
1990.67,109.49,Sep
1990.75,109.32,Oct
1990.83,109.18,Nov
1990.92,109.12,Dec
1991.00,109.00,Jan
1991.08,108.70,Feb
1991.17,108.54,Mar
1991.25,108.33,Apr
1991.33,108.20,May
1991.42,108.28,Jun
1991.50,108.23,Jul
1991.58,108.25,Aug
1991.67,108.29,Sep
1991.75,108.29,Oct
1991.83,108.24,Nov
1991.92,108.26,Dec
1992.00,108.31,Jan
1992.08,108.24,Feb
1992.17,108.30,Mar
1992.25,108.46,Apr
1992.33,108.58,May
1992.42,108.64,Jun
1992.50,108.71,Jul
1992.58,108.85,Aug
1992.67,108.89,Sep
1992.75,109.06,Oct
1992.83,109.21,Nov
1992.92,109.42,Dec
1993.00,109.73,Jan
1993.08,109.96,Feb
1993.17,109.92,Mar
1993.25,110.22,Apr
1993.33,110.50,May
1993.42,110.66,Jun
1993.50,110.96,Jul
1993.58,111.12,Aug
1993.67,111.36,Sep
1993.75,111.64,Oct
1993.83,111.90,Nov
1993.92,112.20,Dec
1994.00,112.47,Jan
1994.08,112.67,Feb
1994.17,113.13,Mar
1994.25,113.49,Apr
1994.33,113.83,May
1994.42,114.14,Jun
1994.50,114.50,Jul
1994.58,114.80,Aug
1994.67,115.16,Sep
1994.75,115.36,Oct
1994.83,115.79,Nov
1994.92,116.06,Dec
1995.00,116.38,Jan
1995.08,116.59,Feb
1995.17,116.81,Mar
1995.25,116.97,Apr
1995.33,116.96,May
1995.42,117.19,Jun
1995.50,117.26,Jul
1995.58,117.54,Aug
1995.67,117.78,Sep
1995.75,117.93,Oct
1995.83,118.07,Nov
1995.92,118.21,Dec
1996.00,118.19,Jan
1996.08,118.63,Feb
1996.17,118.88,Mar
1996.25,119.05,Apr
1996.33,119.38,May
1996.42,119.65,Jun
1996.50,119.88,Jul
1996.58,120.08,Aug
1996.67,120.30,Sep
1996.75,120.53,Oct
1996.83,120.83,Nov
1996.92,121.00,Dec
1997.00,121.23,Jan
1997.08,121.53,Feb
1997.17,121.84,Mar
1997.25,122.13,Apr
1997.33,122.40,May
1997.42,122.64,Jun
1997.50,122.92,Jul
1997.58,122.91,Aug
1997.67,123.42,Sep
1997.75,123.76,Oct
1997.83,124.06,Nov
1997.92,124.36,Dec
1998.00,124.63,Jan
1998.08,124.81,Feb
1998.17,124.96,Mar
1998.25,125.24,Apr
1998.33,125.64,May
1998.42,125.85,Jun
1998.50,125.97,Jul
1998.58,126.32,Aug
1998.67,126.54,Sep
1998.75,126.74,Oct
1998.83,127.02,Nov
1998.92,127.36,Dec
1999.00,127.48,Jan
1999.08,127.87,Feb
1999.17,128.00,Mar
1999.25,128.38,Apr
1999.33,128.59,May
1999.42,128.85,Jun
1999.50,129.15,Jul
1999.58,129.34,Aug
1999.67,129.53,Sep
1999.75,129.95,Oct
1999.83,130.24,Nov
1999.92,130.54,Dec
2000.00,130.78,Jan
2000.08,130.90,Feb
2000.17,131.38,Mar
2000.25,131.66,Apr
2000.33,131.88,May
2000.42,131.84,Jun
2000.50,132.02,Jul
2000.58,132.00,Aug
2000.67,132.12,Sep
2000.75,132.11,Oct
2000.83,132.33,Nov
2000.92,132.48,Dec
2001.00,132.45,Jan
2001.08,132.55,Feb
2001.17,132.51,Mar
2001.25,132.21,Apr
2001.33,132.19,May
2001.42,132.03,Jun
2001.50,131.94,Jul
2001.58,131.80,Aug
2001.67,131.55,Sep
2001.75,131.17,Oct
2001.83,130.88,Nov
2001.92,130.71,Dec
2002.00,130.58,Jan
2002.08,130.48,Feb
2002.17,130.44,Mar
2002.25,130.34,Apr
2002.33,130.33,May
2002.42,130.38,Jun
2002.50,130.28,Jul
2002.58,130.30,Aug
2002.67,130.25,Sep
2002.75,130.31,Oct
2002.83,130.32,Nov
2002.92,130.16,Dec
2003.00,130.25,Jan
2003.08,130.13,Feb
2003.17,129.91,Mar
2003.25,129.85,Apr
2003.33,129.83,May
2003.42,129.85,Jun
2003.50,129.86,Jul
2003.58,129.86,Aug
2003.67,129.95,Sep
2003.75,130.08,Oct
2003.83,130.17,Nov
2003.92,130.26,Dec
2004.00,130.37,Jan
2004.08,130.47,Feb
2004.17,130.79,Mar
2004.25,131.12,Apr
2004.33,131.37,May
2004.42,131.48,Jun
2004.50,131.56,Jul
2004.58,131.75,Aug
2004.67,131.88,Sep
2004.75,132.16,Oct
2004.83,132.29,Nov
2004.92,132.45,Dec
2005.00,132.57,Jan
2005.08,132.87,Feb
2005.17,133.00,Mar
2005.25,133.29,Apr
2005.33,133.41,May
2005.42,133.59,Jun
2005.50,133.87,Jul
2005.58,134.01,Aug
2005.67,134.01,Sep
2005.75,134.06,Oct
